city,date,country,latitude,longitude,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,humidity_pct,wind_speed_kmh,pressure_hpa,visibility_km,uv_index,weather_condition
Mumbai,2018-01-01,India,19.07,72.87,27.6,16.3,23.7,0.3,63.1,13.8,1025.6,10.0,6.2,Clear/Sunny
Mumbai,2018-01-02,India,19.07,72.87,26.8,19.4,22.4,0.0,44.1,19.8,1019.5,8.5,6.2,Clear/Sunny
Mumbai,2018-01-03,India,19.07,72.87,27.5,18.3,24.0,0.1,85.5,17.0,1014.0,9.5,6.0,Cloudy
Mumbai,2018-01-04,India,19.07,72.87,26.5,17.3,21.1,0.0,64.9,9.7,1019.6,8.8,6.8,Clear/Sunny
Mumbai,2018-01-05,India,19.07,72.87,28.2,19.3,22.3,0.4,70.9,15.9,1012.1,9.5,5.1,Clear/Sunny
Mumbai,2018-01-06,India,19.07,72.87,29.4,18.6,23.8,0.0,56.0,15.7,1017.7,10.0,7.5,Clear/Sunny
Mumbai,2018-01-07,India,19.07,72.87,26.3,18.6,21.8,0.0,67.7,19.9,1009.2,9.8,5.5,Clear/Sunny
Mumbai,2018-01-08,India,19.07,72.87,28.9,17.5,24.6,0.2,67.9,11.8,1015.9,10.0,6.6,Clear/Sunny
Mumbai,2018-01-09,India,19.07,72.87,28.1,18.3,21.5,0.0,53.6,20.2,1020.2,10.0,6.1,Clear/Sunny
Mumbai,2018-01-10,India,19.07,72.87,29.0,19.1,23.5,0.0,58.5,12.5,1020.3,10.0,6.1,Clear/Sunny
Mumbai,2018-01-11,India,19.07,72.87,29.6,17.8,23.3,0.7,59.4,13.4,1009.9,8.2,6.9,Clear/Sunny
Mumbai,2018-01-12,India,19.07,72.87,26.0,18.0,21.0,0.0,61.8,13.6,1016.6,9.8,6.8,Clear/Sunny
Mumbai,2018-01-13,India,19.07,72.87,28.8,18.5,22.6,1.0,64.9,6.6,1004.4,8.5,6.7,Clear/Sunny
Mumbai,2018-01-14,India,19.07,72.87,28.0,19.8,23.8,0.0,63.5,16.5,1012.7,8.8,7.7,Clear/Sunny
Mumbai,2018-01-15,India,19.07,72.87,27.0,17.1,23.9,0.0,76.2,22.0,1006.0,10.0,6.1,Clear/Sunny
Mumbai,2018-01-16,India,19.07,72.87,26.8,19.8,24.6,0.0,52.6,15.3,1004.5,10.0,5.7,Clear/Sunny
Mumbai,2018-01-17,India,19.07,72.87,29.8,19.5,25.5,0.0,62.1,17.8,1021.4,10.0,8.0,Clear/Sunny
Mumbai,2018-01-18,India,19.07,72.87,27.0,19.6,24.2,0.7,53.5,21.0,1023.4,8.8,7.2,Clear/Sunny
Mumbai,2018-01-19,India,19.07,72.87,26.4,19.4,22.1,0.3,66.4,8.9,1021.4,10.0,7.3,Clear/Sunny
Mumbai,2018-01-20,India,19.07,72.87,27.0,18.7,22.3,0.3,68.4,19.7,1006.1,10.0,5.2,Clear/Sunny
Mumbai,2018-01-21,India,19.07,72.87,27.0,16.1,25.8,0.0,67.2,19.1,1013.1,10.0,6.4,Clear/Sunny
Mumbai,2018-01-22,India,19.07,72.87,26.8,17.2,23.8,0.0,65.3,14.3,1012.0,10.0,6.2,Clear/Sunny
Mumbai,2018-01-23,India,19.07,72.87,27.6,16.7,23.2,0.0,66.7,8.8,1014.4,10.0,5.7,Clear/Sunny
Mumbai,2018-01-24,India,19.07,72.87,28.5,16.1,24.5,0.0,73.5,15.3,1020.0,10.0,5.7,Clear/Sunny
Mumbai,2018-01-25,India,19.07,72.87,27.3,16.9,24.1,0.6,65.2,19.4,1024.5,9.7,8.0,Clear/Sunny
Mumbai,2018-01-26,India,19.07,72.87,29.3,16.6,21.2,0.0,58.8,13.8,1009.1,10.0,9.0,Clear/Sunny
Mumbai,2018-01-27,India,19.07,72.87,27.3,17.8,21.9,0.0,57.9,13.3,1025.5,10.0,7.2,Clear/Sunny
Mumbai,2018-01-28,India,19.07,72.87,26.5,19.9,24.0,0.0,82.2,18.2,996.8,10.0,6.0,Cloudy
Mumbai,2018-01-29,India,19.07,72.87,27.9,19.9,21.6,0.0,58.8,23.3,1010.3,9.7,7.0,Clear/Sunny
Mumbai,2018-01-30,India,19.07,72.87,29.1,17.6,22.5,0.0,82.0,20.2,1000.8,9.5,7.9,Cloudy
Mumbai,2018-01-31,India,19.07,72.87,26.3,19.8,23.1,0.0,63.1,24.4,1012.8,9.1,5.4,Clear/Sunny
Mumbai,2018-02-01,India,19.07,72.87,28.0,18.7,24.2,0.3,64.0,12.7,1013.5,10.0,7.1,Clear/Sunny
Mumbai,2018-02-02,India,19.07,72.87,26.9,20.0,25.4,0.0,70.2,15.6,997.8,10.0,6.1,Clear/Sunny
Mumbai,2018-02-03,India,19.07,72.87,28.5,16.5,24.2,0.0,67.2,11.9,1011.3,9.5,6.1,Clear/Sunny
Mumbai,2018-02-04,India,19.07,72.87,26.8,17.6,23.9,0.6,71.5,18.1,1006.4,9.1,7.5,Clear/Sunny
Mumbai,2018-02-05,India,19.07,72.87,30.3,18.7,23.6,0.0,59.6,20.8,1025.4,9.6,6.3,Clear/Sunny
Mumbai,2018-02-06,India,19.07,72.87,30.0,18.4,24.5,0.1,63.1,19.3,1010.8,9.3,8.7,Clear/Sunny
Mumbai,2018-02-07,India,19.07,72.87,28.2,19.3,22.5,0.0,74.3,19.0,1018.0,10.0,6.7,Clear/Sunny
Mumbai,2018-02-08,India,19.07,72.87,26.7,18.3,23.7,0.0,62.5,19.0,1017.9,10.0,6.3,Clear/Sunny
Mumbai,2018-02-09,India,19.07,72.87,29.8,17.7,25.0,0.0,53.4,8.0,1007.3,9.8,7.1,Clear/Sunny
Mumbai,2018-02-10,India,19.07,72.87,28.2,16.9,24.3,0.0,62.6,15.0,1007.5,10.0,8.1,Clear/Sunny
Mumbai,2018-02-11,India,19.07,72.87,28.9,16.7,22.8,0.0,70.5,13.0,1014.8,10.0,6.9,Clear/Sunny
Mumbai,2018-02-12,India,19.07,72.87,30.5,18.5,22.8,0.4,82.2,11.2,1020.0,10.0,9.0,Cloudy
Mumbai,2018-02-13,India,19.07,72.87,27.8,19.9,24.6,0.0,73.3,5.9,997.7,10.0,7.4,Clear/Sunny
Mumbai,2018-02-14,India,19.07,72.87,27.4,17.1,23.4,0.9,70.9,22.4,1018.6,9.4,6.8,Clear/Sunny
Mumbai,2018-02-15,India,19.07,72.87,30.0,16.8,23.2,0.0,51.3,21.8,1012.1,10.0,5.3,Clear/Sunny
Mumbai,2018-02-16,India,19.07,72.87,27.0,17.3,23.7,2.5,65.0,15.2,1009.4,9.4,5.8,Rain
Mumbai,2018-02-17,India,19.07,72.87,30.7,18.4,25.9,0.0,73.5,22.7,1006.4,9.7,7.2,Clear/Sunny
Mumbai,2018-02-18,India,19.07,72.87,30.0,18.8,24.8,0.2,73.2,15.8,1004.8,9.6,8.4,Clear/Sunny
Mumbai,2018-02-19,India,19.07,72.87,27.8,20.4,24.7,0.0,73.5,6.2,1003.5,8.0,6.7,Clear/Sunny
Mumbai,2018-02-20,India,19.07,72.87,29.1,17.9,22.3,0.0,72.9,16.7,1012.9,10.0,6.7,Clear/Sunny
Mumbai,2018-02-21,India,19.07,72.87,31.0,19.1,23.0,0.0,54.6,18.3,1015.9,9.1,6.5,Clear/Sunny
Mumbai,2018-02-22,India,19.07,72.87,30.7,19.2,22.9,0.1,60.8,11.0,1012.1,8.9,6.5,Clear/Sunny
Mumbai,2018-02-23,India,19.07,72.87,29.2,18.4,24.7,0.0,69.1,21.0,1019.8,9.4,6.3,Clear/Sunny
Mumbai,2018-02-24,India,19.07,72.87,28.1,19.7,24.5,0.0,52.9,21.8,1026.2,9.8,7.6,Clear/Sunny
Mumbai,2018-02-25,India,19.07,72.87,29.3,19.2,24.2,0.0,77.2,2.7,1006.5,9.1,6.9,Clear/Sunny
Mumbai,2018-02-26,India,19.07,72.87,28.6,20.5,23.5,0.0,78.5,19.4,1012.9,10.0,7.2,Clear/Sunny
Mumbai,2018-02-27,India,19.07,72.87,29.7,18.4,25.3,0.0,61.9,11.7,1024.2,8.7,5.2,Clear/Sunny
Mumbai,2018-02-28,India,19.07,72.87,31.4,19.0,23.6,0.0,59.8,12.6,1008.3,9.1,7.2,Clear/Sunny
Mumbai,2018-03-01,India,19.07,72.87,29.2,17.6,24.0,0.0,68.1,14.6,1014.9,10.0,6.4,Clear/Sunny
Mumbai,2018-03-02,India,19.07,72.87,30.3,17.9,22.8,0.0,51.6,17.7,1007.7,10.0,6.4,Clear/Sunny
Mumbai,2018-03-03,India,19.07,72.87,29.7,20.7,23.0,0.0,52.8,19.0,1003.9,10.0,10.0,Clear/Sunny
Mumbai,2018-03-04,India,19.07,72.87,27.9,20.4,26.1,0.0,73.1,12.1,1019.7,8.9,7.8,Clear/Sunny
Mumbai,2018-03-05,India,19.07,72.87,29.7,20.1,24.9,0.0,66.4,15.4,1016.9,10.0,7.1,Clear/Sunny
Mumbai,2018-03-06,India,19.07,72.87,31.0,21.0,24.5,0.0,68.2,12.9,1015.3,10.0,8.1,Clear/Sunny
Mumbai,2018-03-07,India,19.07,72.87,29.5,18.6,24.9,0.0,59.6,3.8,1021.4,9.2,5.7,Clear/Sunny
Mumbai,2018-03-08,India,19.07,72.87,31.6,20.4,24.6,0.0,66.9,18.9,1001.2,10.0,7.7,Clear/Sunny
Mumbai,2018-03-09,India,19.07,72.87,30.5,19.9,24.6,0.5,61.3,10.8,1019.6,8.9,7.4,Clear/Sunny
Mumbai,2018-03-10,India,19.07,72.87,31.2,18.6,26.1,0.0,75.3,12.8,1009.6,9.4,8.3,Clear/Sunny
Mumbai,2018-03-11,India,19.07,72.87,30.7,19.4,25.1,0.0,58.8,8.8,998.8,10.0,8.1,Clear/Sunny
Mumbai,2018-03-12,India,19.07,72.87,28.9,19.9,25.7,0.0,63.4,15.2,1027.3,10.0,7.6,Clear/Sunny
Mumbai,2018-03-13,India,19.07,72.87,28.9,20.0,25.9,0.2,66.5,15.5,1012.3,10.0,10.0,Clear/Sunny
Mumbai,2018-03-14,India,19.07,72.87,30.0,22.2,24.1,0.0,56.9,6.7,1019.6,10.0,6.2,Clear/Sunny
Mumbai,2018-03-15,India,19.07,72.87,31.4,20.7,25.3,0.0,56.0,14.3,1012.9,8.7,8.3,Clear/Sunny
Mumbai,2018-03-16,India,19.07,72.87,30.0,20.2,25.7,0.0,56.9,17.6,1006.6,9.8,7.5,Clear/Sunny
Mumbai,2018-03-17,India,19.07,72.87,31.0,22.4,23.0,0.1,64.1,15.8,1033.6,8.9,9.0,Clear/Sunny
Mumbai,2018-03-18,India,19.07,72.87,30.5,21.1,27.5,0.0,62.3,13.1,1001.7,9.2,6.5,Clear/Sunny
Mumbai,2018-03-19,India,19.07,72.87,28.9,22.2,26.5,0.3,70.8,9.4,1008.8,10.0,6.4,Clear/Sunny
Mumbai,2018-03-20,India,19.07,72.87,29.3,21.9,25.5,0.6,62.1,20.8,1004.4,10.0,8.2,Clear/Sunny
Mumbai,2018-03-21,India,19.07,72.87,29.0,22.6,24.2,0.0,51.6,23.8,1003.1,9.2,9.0,Clear/Sunny
Mumbai,2018-03-22,India,19.07,72.87,30.1,20.5,26.4,0.0,48.3,23.5,1014.7,9.9,7.2,Clear/Sunny
Mumbai,2018-03-23,India,19.07,72.87,32.6,21.1,26.8,0.5,62.1,14.7,1015.5,8.0,6.4,Clear/Sunny
